controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Zoning	(1, 2, 5)	178	4.109308088740782	0.03075783699511323	0.4471196829407543	0.012257129943546054
Nearest	(1, 2, 5)	315	3.613279629595521	0.029433850483017204	0.3302824414483089	0.010991344439618533
Random	(4, 5, 6)	163	4.486597630919475	0.032800303431776125	0.5737165778693101	0.0121594197190841
Zoning	(4, 5, 6)	148	4.213826627601826	0.03308948305113463	0.4314856809129962	0.011074529494821433
Nearest	(4, 5, 6)	328	3.492911664509077	0.031283523344016594	0.37470671363799524	0.01006542838894701
Random	(3, 3, 5)	196	4.359852320206247	0.037689234040607235	0.6049379429188917	0.013287967439785317
Zoning	(3, 3, 5)	194	4.028421570660688	0.03385089714184327	0.4828661838429213	0.012733179613186337
Nearest	(3, 3, 5)	355	3.300586805345092	0.02975761247445757	0.3558792255401584	0.0111810769539225
Random	(1, 3, 6)	145	4.520668610818597	0.03582419424173212	0.55000682936501	0.011958532420258301
Zoning	(1, 3, 6)	175	3.9931232692392187	0.03578999813233437	0.4570355959401135	0.011958157266905198
Nearest	(1, 3, 6)	285	3.666694667007828	0.02962701361635228	0.3430724034311881	0.010987314760674827
Random	(3, 4, 4)	189	4.288648366688884	0.03218358336245467	0.6117249924265082	0.01326063601865564
Zoning	(3, 4, 4)	203	4.075220668162461	0.028998745785001393	0.4770913489226689	0.013564819513154804
Nearest	(3, 4, 4)	391	3.2179379103451047	0.02882643826932835	0.3593055626460031	0.011089522055378845
Random	(1, 4, 5)	138	4.48177590548345	0.03694067796720617	0.566787205384424	0.013065380276630728
Zoning	(1, 4, 5)	165	3.9666252933885318	0.033415769934171724	0.4774383975667667	0.012043943992310421
Nearest	(1, 4, 5)	317	3.5101516621487865	0.03131371358689958	0.3376077186989456	0.011480930827592455
Random	(5, 5, 6)	145	4.501858683025698	0.03010934560737491	0.5594988384364337	0.012091216085135427
Zoning	(5, 5, 6)	143	4.281385813724548	0.030639220492334304	0.4222079306042782	0.013054824814438959
Nearest	(5, 5, 6)	341	3.5772284212491163	0.030560256424967427	0.37788651390450845	0.011177327349829501
Random	(2, 4, 5)	156	4.406653989635667	0.034275887398697975	0.5882628354248315	0.01145028450183431
Zoning	(2, 4, 5)	185	3.935499357399365	0.0331164896926364	0.4887111462954298	0.012558756719034104
Nearest	(2, 4, 5)	348	3.352180139686956	0.030989081615229924	0.35282667511410476	0.011222105978567168
Random	(2, 3, 3)	180	4.354599839783765	0.03249741212391542	0.6021956539212128	0.012347439918208827
Zoning	(2, 3, 3)	193	4.0653250948310085	0.034230359562887225	0.47702638270026576	0.012751495275687951
