controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Random	(3, 3, 5)	133	4.402724953812069	0.031837911495521225	0.6122897449128707	0.013180082284662536
Zoning	(3, 3, 5)	150	4.15850411313317	0.036399890723151807	0.5061299958214489	0.012860446644264868
Nearest	(3, 3, 5)	295	3.3083047426167815	0.02637676361407514	0.33396609368975055	0.010477901848669363
Random	(1, 3, 6)	144	4.551075406220667	0.02886474364962741	0.6003844225582821	0.01389118968487555
Zoning	(1, 3, 6)	125	4.121504660706281	0.03563890921887913	0.5063468578847427	0.011577535884926144
Nearest	(1, 3, 6)	247	3.6004031010833377	0.030762746469865796	0.3570056779709352	0.010808604004024879
Random	(3, 4, 4)	129	4.35495031766315	0.03733543657916723	0.6098140069718273	0.013519324818645127
Zoning	(3, 4, 4)	138	4.188916864647741	0.03075344773726395	0.4872954055309792	0.011249971899662446
Nearest	(3, 4, 4)	294	3.2577708792048794	0.028630560833997898	0.3380454138631137	0.010852484442762763
Random	(1, 4, 5)	138	4.4911074795967485	0.0317108370487789	0.6097034690510477	0.011259121884906631
Zoning	(1, 4, 5)	122	4.101398529399366	0.03648374591145575	0.5081301663630816	0.011640756328358821
Nearest	(1, 4, 5)	293	3.5037518818602273	0.031475503961094026	0.3515111719184951	0.01121117806789675
Random	(5, 5, 6)	89	4.5499618318520145	0.03688885294780086	0.5423418562977099	0.01166845057793891
Zoning	(5, 5, 6)	101	4.413168862422944	0.029185942604974844	0.4198117501444208	0.011225967298496802
Nearest	(5, 5, 6)	259	3.6430284248122717	0.03193019351492485	0.37727353121319757	0.012157541344924654
Random	(2, 4, 5)	131	4.427479527915036	0.036391853863686846	0.6082051338298495	0.012138126129708304
Zoning	(2, 4, 5)	138	4.112224678039397	0.028452702865134953	0.4991399185292563	0.012598729890758019
Nearest	(2, 4, 5)	245	3.404047091979283	0.028439272422702555	0.3326959642600038	0.012266465133563761
Random	(2, 3, 3)	140	4.3322465866516655	0.03186602054479176	0.6269202367546922	0.012147701127231274
Zoning	(2, 3, 3)	136	4.2275803630272595	0.031822588587114654	0.5157438761086696	0.012422473435664591
Nearest	(2, 3, 3)	316	3.2516551106351073	0.027108461590409055	0.3170982505972986	0.011133799811429874
Random	(2, 3, 6)	113	4.489214325730548	0.03660232547016893	0.5904823683722037	0.01169461661144222
Zoning	(2, 3, 6)	138	4.1150957885040995	0.031180988939119473	0.5005309200992171	0.013232380155261384
Nearest	(2, 3, 6)	266	3.508213875582511	0.033824882240585843	0.3435884178664236	0.011195040073035315
Random	(1, 1, 3)	162	4.52217578104389	0.04118978790970275	0.6505027359831794	0.013549389032229336
Zoning	(1, 1, 3)	149	4.418571298841954	0.03652593059685377	0.529352657080162	0.012114933220814585
Nearest	(1, 1, 3)	289	3.510043826657553	0.029853280254607917	0.3325097711334256	0.009450408030875608
Random	(1, 1, 6)	124	4.6386707166397585	0.03134310230940924	0.6030929825353255	0.012421380241955007
Zoning	(1, 1, 6)	119	4.361638452435319	0.03568289982086434	0.5106547214979754	0.010622835326902441
Nearest	(1, 1, 6)	282	3.7753665652680537	0.03332859986189135	0.37211490357406035	0.010495778828354415
Random	(1, 5, 6)	122	4.61853294920093	0.03582710692280142	0.5813154796813702	0.01043730727315348
Zoning	(1, 5, 6)	101	4.242619551580451	0.033419920100817506	0.4506445206515844	0.011071269497271816
Nearest	(1, 5, 6)	240	3.7305040107960377	0.035095054182423396	0.37554720209522924	0.011451404924355901
Random	(2, 2, 4)	154	4.417151917676848	0.03843901148597252	0.6375652532169034	0.01344902245794342
